Date,Description,Amount
2026-08-01,Monthly Salary Payroll,4200.00
2026-08-02,Rent - Landlord,-1500.00
2026-08-03,Whole Foods Market,-121.34
2026-08-04,Starbucks Coffee,-7.25
2026-08-05,Shell Gas Station,-51.10
2026-08-07,Netflix Subscription,-15.49
2026-08-09,Amazon Order,-58.99
2026-08-11,Comcast Internet,-79.99
2026-08-13,Chipotle Dining,-14.20
2026-08-15,Uber Ride,-19.80
2026-08-18,CVS Pharmacy,-24.50
2026-08-20,Target Store,-88.65
2026-08-23,Spotify Premium,-10.99
2026-08-26,Costco Groceries,-176.40
2026-08-28,Doordash Dinner,-31.75
